Node ID,Concept / Competency,Track Owner,Node Type,Prerequisite Node(s),Prerequisite Detail,First Taught / Activated Week,Application Track / Week,Later Deepening / Reuse,Mastery Week / Task,Source Basis,Notes
C9.3,"Explain SPI clock, MOSI/MISO, chip select, mode/polarity/phase, word length, and common configuration mismatches.",Career,Career standard,CAREER-W18-I2C-LOGIC,C8 known-good MCU baseline; CETA-W18 interface signaling; C3 measurement/reference discipline,18,Career Week 18,Week 25,Week 18 · SEM-C9-18-083,STMicroelectronics — STM32 Online Training; Saleae — Logic Analyzer Learning and Support; SparkFun — Serial Communication; SparkFun — I2C; SparkFun — Serial Peripheral Interface (SPI),KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C9.4,"Use a logic analyzer capture to correlate firmware actions with actual UART, I²C, or SPI bus transactions.",Career,Career standard,CAREER-W18-I2C-LOGIC,C8 known-good MCU baseline; CETA-W18 interface signaling; C3 measurement/reference discipline,18,Career Week 18,Week 25,Week 18 · SEM-C9-18-083,STMicroelectronics — STM32 Online Training; Saleae — Logic Analyzer Learning and Support; SparkFun — Serial Communication; SparkFun — I2C; SparkFun — Serial Peripheral Interface (SPI),KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C9.5,"Read a sensor/interface datasheet to determine register address, transaction sequence, timing, and expected response.",Career,Career standard,CAREER-W18-I2C-LOGIC,C8 known-good MCU baseline; CETA-W18 interface signaling; C3 measurement/reference discipline,18,Career Week 18,Week 25,Week 18 · SEM-C9-18-083,STMicroelectronics — STM32 Online Training; Saleae — Logic Analyzer Learning and Support; SparkFun — Serial Communication; SparkFun — I2C; SparkFun — Serial Peripheral Interface (SPI),KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C9.6,"Diagnose whether an interface failure is most likely firmware configuration, electrical connection, signal integrity, device addressing, or protocol sequencing.",Career,Career standard,CAREER-W18-I2C-LOGIC,C8 known-good MCU baseline; CETA-W18 interface signaling; C3 measurement/reference discipline,18,Career Week 18,Week 25,Week 18 · SEM-C9-18-083,STMicroelectronics — STM32 Online Training; Saleae — Logic Analyzer Learning and Support; SparkFun — Serial Communication; SparkFun — I2C; SparkFun — Serial Peripheral Interface (SPI),KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C10.1,"Use Python to open, configure, read from, and write to a serial device with explicit timeouts and error handling.",Career,Career standard,CAREER-W17-PYTHON-SERIAL; CAREER-W22-VERIFICATION,CAREER-W17-PYTHON-SERIAL; C9 interface/transport evidence; C11 verification limits and evidence discipline,27,Career Week 27,Later cumulative practice/project evidence as applicable,Week 27 · SEM-C10-27-084,Python Software Foundation — Python 3 Documentation; pySerial project — pySerial Documentation; pytest project — pytest Documentation; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C10.2,Parse incoming measurements into structured values and reject malformed or out-of-range data safely.,Career,Career standard,CAREER-W17-PYTHON-SERIAL; CAREER-W22-VERIFICATION,CAREER-W17-PYTHON-SERIAL; C9 interface/transport evidence; C11 verification limits and evidence discipline,27,Career Week 27,Later cumulative practice/project evidence as applicable,Week 27 · SEM-C10-27-084,Python Software Foundation — Python 3 Documentation; pySerial project — pySerial Documentation; pytest project — pytest Documentation; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C10.3,"Log timestamped test data in a reproducible format that preserves units, device identity, and test conditions.",Career,Career standard,CAREER-W17-PYTHON-SERIAL; CAREER-W22-VERIFICATION,CAREER-W17-PYTHON-SERIAL; C9 interface/transport evidence; C11 verification limits and evidence discipline,27,Career Week 27,Later cumulative practice/project evidence as applicable,Week 27 · SEM-C10-27-084,Python Software Foundation — Python 3 Documentation; pySerial project — pySerial Documentation; pytest project — pytest Documentation; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C10.4,Write an automated PASS/FAIL check against explicit limits and report why a failure occurred.,Career,Career standard,CAREER-W17-PYTHON-SERIAL; CAREER-W22-VERIFICATION,CAREER-W17-PYTHON-SERIAL; C9 interface/transport evidence; C11 verification limits and evidence discipline,27,Career Week 27,Week 28,Week 27 · SEM-C10-27-084,Python Software Foundation — Python 3 Documentation; pySerial project — pySerial Documentation; pytest project — pytest Documentation; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C10.5,"Plot or summarize test data to reveal trends, drift, noise, or outliers relevant to a hardware decision.",Career,Career standard,CAREER-W17-PYTHON-SERIAL; CAREER-W22-VERIFICATION,CAREER-W17-PYTHON-SERIAL; C9 interface/transport evidence; C11 verification limits and evidence discipline,27,Career Week 27,Later cumulative practice/project evidence as applicable,Week 27 · SEM-C10-27-084,Python Software Foundation — Python 3 Documentation; pySerial project — pySerial Documentation; pytest project — pytest Documentation; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C10.6,"Structure a small hardware-test script so setup, stimulus, measurement, evaluation, cleanup, and reporting are separate steps.",Career,Career standard,CAREER-W17-PYTHON-SERIAL; CAREER-W22-VERIFICATION,CAREER-W17-PYTHON-SERIAL; C9 interface/transport evidence; C11 verification limits and evidence discipline,27,Career Week 27,Later cumulative practice/project evidence as applicable,Week 27 · SEM-C10-27-084,Python Software Foundation — Python 3 Documentation; pySerial project — pySerial Documentation; pytest project — pytest Documentation; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C11.1,"Translate a requirement into a measurable verification step with setup, stimulus, expected result, tolerance, and evidence.",Career,Career standard,CAREER-W22-VERIFICATION,C3 measurement evidence; C5 troubleshooting/causal reasoning; explicit requirement/expected-result model,22,Career Week 22,Later cumulative practice/project evidence as applicable,Week 28 · SEM-C11-28-085,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027; NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",KEEP · Informed by / cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C11.2,"Distinguish verification, validation, characterization, troubleshooting, and production test.",Career,Career standard,CAREER-W22-VERIFICATION,C3 measurement evidence; C5 troubleshooting/causal reasoning; explicit requirement/expected-result model,22,Career Week 22,Later cumulative practice/project evidence as applicable,Week 28 · SEM-C11-28-085,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027; NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",KEEP · Informed by / cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C11.3,Design a repeatable test procedure that controls variables and records enough context for another technician to reproduce it.,Career,Career standard,CAREER-W22-VERIFICATION,C3 measurement evidence; C5 troubleshooting/causal reasoning; explicit requirement/expected-result model,27,Career Week 27,Later cumulative practice/project evidence as applicable,Week 28 · SEM-C11-28-085,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027; NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",KEEP · Informed by / cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C11.4,"Use boundary, nominal, and fault conditions to expose weaknesses that a single happy-path test would miss.",Career,Career standard,CAREER-W22-VERIFICATION,C3 measurement evidence; C5 troubleshooting/causal reasoning; explicit requirement/expected-result model,27,Career Week 27,Later cumulative practice/project evidence as applicable,Week 28 · SEM-C11-28-085,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027; NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",KEEP · Informed by / cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C11.5,"Interpret test results against requirements and identify whether the result is pass, fail, inconclusive, or requires additional data.",Career,Career standard,CAREER-W22-VERIFICATION,C3 measurement evidence; C5 troubleshooting/causal reasoning; explicit requirement/expected-result model,27,Career Week 27,Later cumulative practice/project evidence as applicable,Week 28 · SEM-C11-28-085,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027; NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",KEEP · Informed by / cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C11.6,"Maintain traceability between requirement, test case, result, anomaly, corrective action, and retest evidence.",Career,Career standard,CAREER-W22-VERIFICATION,C3 measurement evidence; C5 troubleshooting/causal reasoning; explicit requirement/expected-result model,22,Career Week 22,Later cumulative practice/project evidence as applicable,Week 28 · SEM-C11-28-085,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027; NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",KEEP · Informed by / cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C12.1,"Use repository status, diff, staging, commits, and history to inspect and preserve meaningful firmware/test-script changes so the project state is reviewable and reproducible.",Career,Career standard,CAREER-W12-GIT-FOUNDATION,Prior lab/project evidence; reproducibility and technical communication needs,12,Career Week 12,"Week 23, Week 26",Week 12 · SEM-C12-12-1640,GitHub Skills — Introduction to Git; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,SPLIT · Adapted from / informed by · Alfred teaches repository → working tree → status/diff → commit/history before branching/tagging.
C12.2,"Use basic command-line navigation and a repeatable project structure to build, run, inspect, compare, and archive engineering work without losing configuration or evidence context.",Career,Career standard,CAREER-W12-GIT-FOUNDATION,Prior lab/project evidence; reproducibility and technical communication needs,12,Career Week 12,"Week 14, Week 17, Week 23",Week 12 · SEM-C12-12-1640,GitHub Skills — Introduction to Git; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,"REWRITE · Informed by · Alfred teaches current directory, file listing, directory changes, project-root awareness, and documented command execution before using the CLI as invisible Git/build/test infrastructure."
C12.3,"Write lab notes with date, objective, configuration, observations, measurements, anomalies, and next actions.",Career,Career standard,CAREER-W12-GIT-FOUNDATION,Prior lab/project evidence; reproducibility and technical communication needs,12,Career Week 12,"Week 13, Week 20, Week 21, Week 22, Week 23",Week 12 · SEM-C12-12-1640,GitHub Skills — Introduction to Git; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C12.4,"Create a concise test report with purpose, setup, method, results, plots/tables, conclusions, and unresolved risks.",Career,Career standard,CAREER-W12-GIT-FOUNDATION,Prior lab/project evidence; reproducibility and technical communication needs,12,Career Week 12,"Week 20, Week 28, Week 30",Week 12 · SEM-C12-12-1640,GitHub Skills — Introduction to Git; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C12.5,"Communicate a technical problem to an engineer using observed facts, measurements, attempted checks, and a clear question.",Career,Career standard,CAREER-W12-GIT-FOUNDATION,Prior lab/project evidence; reproducibility and technical communication needs,12,Career Week 12,"Week 20, Week 28, Week 30, Week 31",Week 12 · SEM-C12-12-1640,GitHub Skills — Introduction to Git; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C12.6,"Keep filenames, versions, units, screenshots, code, schematics, and evidence organized so a future reviewer can reconstruct the work.",Career,Career standard,CAREER-W12-GIT-FOUNDATION,Prior lab/project evidence; reproducibility and technical communication needs,12,Career Week 12,"Week 23, Week 29, Week 30",Week 12 · SEM-C12-12-1640,GitHub Skills — Introduction to Git; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C12.7,"Use branches and named known-good baselines/tags to isolate work, preserve recoverable project states, and tie firmware/documentation state to bench evidence.",Career,Career standard,CAREER-W12-GIT-FOUNDATION,C12.1 (status/diff/staging/commit/history); C12.2/C12.3 (reproducible project/document structure),12,Career Week 12,Later cumulative practice/project evidence as applicable,Week 12 · SEM-C12-12-1640,GitHub Skills — Introduction to Git; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,ADD · Informed by · Alfred applies the Git concept directly to pre-change/post-change electronics evidence.
C13.1,"Present a project with problem, requirements, architecture, implementation, test evidence, failure/recovery story, and final result.",Career,Career standard,C11.1; C11.6; C12.3; C12.4; C12.6,"C11.1, C11.6, C12.3, C12.4, C12.6 and accumulated technical project evidence from C1–C12.",30,Career Week 30,Later cumulative practice/project evidence as applicable,Week 30 · SEM-C13-30-1640A,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Alfred-authored integration; cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C13.2,"Explain personal contribution precisely without overstating ownership, certification, job title, or engineering authority.",Career,Career standard,C12.5; C12.6,"C12.5, C12.6 plus the learner’s own project evidence and role boundaries.",30,Career Week 30,Week 31,Week 30 · SEM-C13-30-1640A,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Alfred-authored integration; cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C13.3,Answer a hardware troubleshooting interview question using a hypothesis-and-measurement process rather than guessing components.,Career,Career standard,C5.1; C5.2; C5.3,C5.1–C5.3 troubleshooting/hypothesis-measurement reasoning plus prior project evidence.,30,Career Week 30,Week 31,Week 30 · SEM-C13-30-1640A,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Alfred-authored integration; cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C13.4,"Tailor a resume bullet to an electronics/test/embedded role using concrete tools, actions, results, and evidence.",Career,Career standard,C12.6; C13.1,C12.6 evidence organization and C13.1 project-story evidence.,30,Career Week 30,Week 31,Week 30 · SEM-C13-30-1640A,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Alfred-authored integration; cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C13.5,Evaluate a job description for must-have versus learnable skills and identify a credible bridge-role application strategy.,Career,Career standard,C13.1; C13.2,C13.1–C13.2 plus target-role duties/constraints.,30,Career Week 30,Week 31,Week 30 · SEM-C13-30-1640A,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Alfred-authored integration; cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C13.6,"Use interview/application feedback to choose the next technical repair, portfolio improvement, or job-search adjustment.",Career,Career standard,C13.1; C13.2; C13.3; C13.4; C13.5,C13.1–C13.5 plus real application/interview outcome evidence.,31,Career Week 31,Later cumulative practice/project evidence as applicable,Week 31 · SEM-C13-31-1640B,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,MOVE · Alfred-authored integration; cross-checked against · Alfred preserves the competency identity but moves required mastery evidence to the dependency-correct week.
