ID,Previous standard,Final standard,Status,Source relationship,Primary source ID,Primary source,Primary source URL,Secondary source IDs,Secondary sources,Secondary source URLs,Why relevant,Alfred adaptation,First curriculum use,Primary semantic/mastery week,Evidence route
C10.6,"Structure a small hardware-test script so setup, stimulus, measurement, evaluation, cleanup, and reporting are separate steps.","Structure a small hardware-test script so setup, stimulus, measurement, evaluation, cleanup, and reporting are separate steps.",KEEP,Informed by,pythonDocs,Python Software Foundation — Python 3 Documentation,https://docs.python.org/3/,pyserial | pytest | onetTech,pySerial project — pySerial Documentation | pytest project — pytest Documentation | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://pyserial.readthedocs.io/ | https://docs.pytest.org/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,27,27,Required semantic task SEM-C10-27-084; required primary lesson gate; v16.3 integrated lesson checks; Week 27 mastery/teach-back.
C11.1,"Translate a requirement into a measurable verification step with setup, stimulus, expected result, tolerance, and evidence.","Translate a requirement into a measurable verification step with setup, stimulus, expected result, tolerance, and evidence.",KEEP,Informed by / cross-checked against,abetETAC,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027",https://www.abet.org/accreditation/accreditation-criteria/criteria-for-accrediting-engineering-technology-programs-2026-2027/,nasaSystems | onetTech,NASA — NASA Systems Engineering Handbook | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.nasa.gov/reference/systems-engineering-handbook/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,22,28,Required semantic task SEM-C11-28-085; required primary lesson gate; v16.3 integrated lesson checks; Week 28 mastery/teach-back.
C11.2,"Distinguish verification, validation, characterization, troubleshooting, and production test.","Distinguish verification, validation, characterization, troubleshooting, and production test.",KEEP,Informed by / cross-checked against,abetETAC,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027",https://www.abet.org/accreditation/accreditation-criteria/criteria-for-accrediting-engineering-technology-programs-2026-2027/,nasaSystems | onetTech,NASA — NASA Systems Engineering Handbook | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.nasa.gov/reference/systems-engineering-handbook/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,20,28,Required semantic task SEM-C11-28-085; required primary lesson gate; v16.3 integrated lesson checks; Week 28 mastery/teach-back.
C11.3,Design a repeatable test procedure that controls variables and records enough context for another technician to reproduce it.,Design a repeatable test procedure that controls variables and records enough context for another technician to reproduce it.,KEEP,Informed by / cross-checked against,abetETAC,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027",https://www.abet.org/accreditation/accreditation-criteria/criteria-for-accrediting-engineering-technology-programs-2026-2027/,nasaSystems | onetTech,NASA — NASA Systems Engineering Handbook | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.nasa.gov/reference/systems-engineering-handbook/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,22,28,Required semantic task SEM-C11-28-085; required primary lesson gate; v16.3 integrated lesson checks; Week 28 mastery/teach-back.
C11.4,"Use boundary, nominal, and fault conditions to expose weaknesses that a single happy-path test would miss.","Use boundary, nominal, and fault conditions to expose weaknesses that a single happy-path test would miss.",KEEP,Informed by / cross-checked against,abetETAC,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027",https://www.abet.org/accreditation/accreditation-criteria/criteria-for-accrediting-engineering-technology-programs-2026-2027/,nasaSystems | onetTech,NASA — NASA Systems Engineering Handbook | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.nasa.gov/reference/systems-engineering-handbook/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,22,28,Required semantic task SEM-C11-28-085; required primary lesson gate; v16.3 integrated lesson checks; Week 28 mastery/teach-back.
C11.5,"Interpret test results against requirements and identify whether the result is pass, fail, inconclusive, or requires additional data.","Interpret test results against requirements and identify whether the result is pass, fail, inconclusive, or requires additional data.",KEEP,Informed by / cross-checked against,abetETAC,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027",https://www.abet.org/accreditation/accreditation-criteria/criteria-for-accrediting-engineering-technology-programs-2026-2027/,nasaSystems | onetTech,NASA — NASA Systems Engineering Handbook | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.nasa.gov/reference/systems-engineering-handbook/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,21,28,Required semantic task SEM-C11-28-085; required primary lesson gate; v16.3 integrated lesson checks; Week 28 mastery/teach-back.
C11.6,"Maintain traceability between requirement, test case, result, anomaly, corrective action, and retest evidence.","Maintain traceability between requirement, test case, result, anomaly, corrective action, and retest evidence.",KEEP,Informed by / cross-checked against,abetETAC,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027",https://www.abet.org/accreditation/accreditation-criteria/criteria-for-accrediting-engineering-technology-programs-2026-2027/,nasaSystems | onetTech,NASA — NASA Systems Engineering Handbook | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.nasa.gov/reference/systems-engineering-handbook/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,22,28,Required semantic task SEM-C11-28-085; required primary lesson gate; v16.3 integrated lesson checks; Week 28 mastery/teach-back.
C12.1,Use Git commits and branches to preserve meaningful firmware/test-script history and make changes reviewable.,"Use version control from a known mental model: repository/working tree → status/diff → commit/history → branch/tag, then apply those tools to preserve reviewable firmware, scripts, documentation, and known-good project baselines.",REWRITE,Adapted from / informed by,githubSkills,GitHub Skills — Introduction to GitHub,https://github.com/skills/introduction-to-github,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,12,22,Required semantic task SEM-C12-22-086; required primary lesson gate; v16.3 integrated lesson checks; Week 22 mastery/teach-back.
C12.2,"Use basic command-line tools and a repeatable project structure to build, run, inspect, and archive engineering work.","Use basic command-line navigation and a repeatable project structure to build, run, inspect, compare, and archive engineering work without losing configuration or evidence context.",REWRITE,Informed by,githubSkills,GitHub Skills — Introduction to GitHub,https://github.com/skills/introduction-to-github,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,14,22,Required semantic task SEM-C12-22-086; required primary lesson gate; v16.3 integrated lesson checks; Week 22 mastery/teach-back.
C12.3,"Write lab notes with date, objective, configuration, observations, measurements, anomalies, and next actions.","Write lab notes with date, objective, configuration, observations, measurements, anomalies, and next actions.",KEEP,Informed by,githubSkills,GitHub Skills — Introduction to GitHub,https://github.com/skills/introduction-to-github,pccEET101A | onetTech,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.pcc.edu/ccog/eet/101a/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,5,22,Required semantic task SEM-C12-22-086; required primary lesson gate; v16.3 integrated lesson checks; Week 22 mastery/teach-back.
C12.4,"Create a concise test report with purpose, setup, method, results, plots/tables, conclusions, and unresolved risks.","Create a concise test report with purpose, setup, method, results, plots/tables, conclusions, and unresolved risks.",KEEP,Informed by,githubSkills,GitHub Skills — Introduction to GitHub,https://github.com/skills/introduction-to-github,pccEET101A | onetTech,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.pcc.edu/ccog/eet/101a/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,20,22,Required semantic task SEM-C12-22-086; required primary lesson gate; v16.3 integrated lesson checks; Week 22 mastery/teach-back.
C12.5,"Communicate a technical problem to an engineer using observed facts, measurements, attempted checks, and a clear question.","Communicate a technical problem to an engineer using observed facts, measurements, attempted checks, and a clear question.",KEEP,Informed by,githubSkills,GitHub Skills — Introduction to GitHub,https://github.com/skills/introduction-to-github,pccEET101A | onetTech,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.pcc.edu/ccog/eet/101a/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,20,22,Required semantic task SEM-C12-22-086; required primary lesson gate; v16.3 integrated lesson checks; Week 22 mastery/teach-back.
C12.6,"Keep filenames, versions, units, screenshots, code, schematics, and evidence organized so a future reviewer can reconstruct the work.","Keep filenames, versions, units, screenshots, code, schematics, and evidence organized so a future reviewer can reconstruct the work.",KEEP,Informed by,githubSkills,GitHub Skills — Introduction to GitHub,https://github.com/skills/introduction-to-github,pccEET101A | onetTech,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.pcc.edu/ccog/eet/101a/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,12,22,Required semantic task SEM-C12-22-086; required primary lesson gate; v16.3 integrated lesson checks; Week 22 mastery/teach-back.
C13.1,"Present a project with problem, requirements, architecture, implementation, test evidence, failure/recovery story, and final result.","Present a project with problem, requirements, architecture, implementation, test evidence, failure/recovery story, and final result.",KEEP,Alfred-authored integration; cross-checked against,onetTech,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.onetonline.org/link/summary/17-3023.00,blsTech,U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,22,30,Required semantic task SEM-C13-30-087; required primary lesson gate; v16.3 integrated lesson checks; Week 30 mastery/teach-back.
C13.2,"Explain personal contribution precisely without overstating ownership, certification, job title, or engineering authority.","Explain personal contribution precisely without overstating ownership, certification, job title, or engineering authority.",KEEP,Alfred-authored integration; cross-checked against,onetTech,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.onetonline.org/link/summary/17-3023.00,blsTech,U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,23,30,Required semantic task SEM-C13-30-087; required primary lesson gate; v16.3 integrated lesson checks; Week 30 mastery/teach-back.
C13.3,Answer a hardware troubleshooting interview question using a hypothesis-and-measurement process rather than guessing components.,Answer a hardware troubleshooting interview question using a hypothesis-and-measurement process rather than guessing components.,KEEP,Alfred-authored integration; cross-checked against,onetTech,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.onetonline.org/link/summary/17-3023.00,blsTech,U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,30,30,Required semantic task SEM-C13-30-087; required primary lesson gate; v16.3 integrated lesson checks; Week 30 mastery/teach-back.
C13.4,"Tailor a resume bullet to an electronics/test/embedded role using concrete tools, actions, results, and evidence.","Tailor a resume bullet to an electronics/test/embedded role using concrete tools, actions, results, and evidence.",KEEP,Alfred-authored integration; cross-checked against,onetTech,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.onetonline.org/link/summary/17-3023.00,blsTech,U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,30,30,Required semantic task SEM-C13-30-087; required primary lesson gate; v16.3 integrated lesson checks; Week 30 mastery/teach-back.
C13.5,Evaluate a job description for must-have versus learnable skills and identify a credible bridge-role application strategy.,Evaluate a job description for must-have versus learnable skills and identify a credible bridge-role application strategy.,KEEP,Alfred-authored integration; cross-checked against,onetTech,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.onetonline.org/link/summary/17-3023.00,blsTech,U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,30,30,Required semantic task SEM-C13-30-087; required primary lesson gate; v16.3 integrated lesson checks; Week 30 mastery/teach-back.
C13.6,"Use interview/application feedback to choose the next technical repair, portfolio improvement, or job-search adjustment.","Use interview/application feedback to choose the next technical repair, portfolio improvement, or job-search adjustment.",KEEP,Alfred-authored integration; cross-checked against,onetTech,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.onetonline.org/link/summary/17-3023.00,blsTech,U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,31,30,Required semantic task SEM-C13-30-087; required primary lesson gate; v16.3 integrated lesson checks; Week 30 mastery/teach-back.
